Employee ID,Department,ML,DL,Python,Statistics,Data Wrangling,R,Java,C++,Algorithms,Data Structures,Git,Recruitment,Training,Communication,Conflict Resolution,Employee Engagement,HR Policies,SEO,Content Creation,Analytics,Social Media,Brand Management,Market Research,Accounting,Financial Analysis,Excel,Budgeting,Taxation,Investment Analysis
1,Marketing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,7,10,3,7,0,0,0,0,0,0
2,Human Resources,0,0,0,0,0,0,0,0,0,0,0,8,5,4,8,8,3,0,0,0,0,0,0,0,0,0,0,0,0
3,Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,6,2,5,1
4,Marketing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,6,9,1,10,3,0,0,0,0,0,0
5,Marketing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,9,3,5,3,0,0,0,0,0,0
6,Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,2,4,9,2
7,Software Engineering,0,0,5,0,0,0,9,10,2,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Marketing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,1,4,2,8,0,0,0,0,0,0
9,Marketing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,6,10,4,6,0,0,0,0,0,0
10,Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,2,10,4,8
11,Marketing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,5,2,5,8,0,0,0,0,0,0
12,Software Engineering,0,0,1,0,0,0,9,9,9,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Data Science,8,8,3,1,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Human Resources,0,0,0,0,0,0,0,0,0,0,0,1,5,10,7,10,9,0,0,0,0,0,0,0,0,0,0,0,0
15,Marketing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,8,2,1,7,0,0,0,0,0,0
16,Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,6,3,1,3
17,Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,5,10,7,7
18,Human Resources,0,0,0,0,0,0,0,0,0,0,0,9,10,10,3,7,1,0,0,0,0,0,0,0,0,0,0,0,0
19,Marketing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,7,7,4,7,0,0,0,0,0,0
20,Human Resources,0,0,0,0,0,0,0,0,0,0,0,3,6,2,10,9,5,0,0,0,0,0,0,0,0,0,0,0,0
21,Marketing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,7,9,7,1,0,0,0,0,0,0
22,Data Science,9,9,4,9,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Human Resources,0,0,0,0,0,0,0,0,0,0,0,9,5,1,3,10,8,0,0,0,0,0,0,0,0,0,0,0,0
24,Human Resources,0,0,0,0,0,0,0,0,0,0,0,6,8,9,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0
